G_2pcCP,G_2pcCP,G_1p5pcCP,G_1p5pcCP,G_1pcCP,G_1pcCP,PG_2pcCP,PG_2pcCP,PG_1p5pcCP,PG_1p5pcCP,PG_1pcCP,PG_1pcCP,P_2pcCP,P_2pcCP,P_1p5pcCP,P_1p5pcCP
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.001103871332648844,19.630406500402763,0.0007620338246242279,4.862601580065373,0.0005006921880406711,1.0974987654930612,0.001159785520408915,14.17474162926193,0.001188795893273206,3.67837977182719,0.0005006921880406711,0.3593813663803552,0.001000000000000001,5.590810182512268,0.00059455707085444,0.4534878508128554
0.0013122777069549626,19.630406500402763,0.0010506528126116863,4.862601580065373,0.0006101094127435032,1.204503540258786,0.0015600303488620408,14.17474162926193,0.0015219606832817772,3.8535285937090538,0.0006570471964122749,0.39442060594364864,0.0012496091412919881,5.5908101825122225,0.000761588592128412,0.49770235643320526
0.0016390502737914834,20.565123083486558,0.0013451024533501763,5.336699231206324,0.0007434377935371068,1.204503540258786,0.001997235075532621,15.556761439297913,0.001948496234351643,4.037017258595014,0.0009059026812485556,0.43287612810818044,0.0015615230060005013,5.857020818056673,0.001025068028334186,0.5214008287999716
0.0020471930489848167,20.565123083486558,0.0017220727801709767,5.857020818056686,0.001000000000000001,1.204503540258786,0.0026864858000159478,15.556761439297913,0.0024336946893706154,4.229242874387856,0.001103871332648844,0.45348785081272186,0.0019512934226359683,5.857020818056673,0.0012190499622963583,0.572236765935022
0.0027536843926708934,21.544346900318867,0.0022046905444412022,5.336699231206324,0.0012185319190439311,1.3219411484660342,0.0034393841591774514,15.556761439297913,0.003115747331642653,4.430621457582129,0.001484820037728884,0.5214008287998074,0.0028288694346259723,5.857020818056673,0.001414287276844034,0.572236765935022
0.0037966375752825176,21.54434690031891,0.002965534660205797,5.857020818056686,0.0015600303488620408,1.3219411484660342,0.00440328528605308,15.556761439297913,0.004190999379811793,4.641588833610988,0.001948496234351643,0.5722367659348371,0.003623596111531805,5.857020818056673,0.0018116091942004151,0.6280291441834273
0.005365543669712126,21.54434690031891,0.0039889479469377865,7.054802310718674,0.001900946774765634,1.4508287784959433,0.005637323547773892,15.556761439297913,0.005637323547773892,4.862601580063444,0.0025569681704253537,0.6280291441832243,0.005253274655891791,6.1359072734131885,0.0026922012829804134,0.6892612104349738
0.007582777734439312,22.57019719633926,0.005365543669712159,7.054802310718674,0.0025569681704253537,1.4508287784959433,0.0075827777344393745,17.073526474699413,0.007582777734439359,5.094138014814364,0.0036135986404918583,0.7220809018383153,0.00724794774808137,6.428073117284345,0.003807546021222376,0.7564633275546291
0.0028931662522045922,21.54434690031891,0.007217205953687311,7.054802310718674,0.0036135986404918583,1.74752840000769,0.010716252016451109,17.073526474699413,0.010716252016451109,5.590810182509982,0.0051068665169939735,0.8697490026174952,0.01077105056036769,6.428073117284399,0.00538496389381292,0.9111627561154868
