G_8pc,G_8pc,G_5pc,G_5pc,G_3pc,G_3pc,PG_8pc,PG_8pc,PG_5pc,PG_5pc,PG_3pc,PG_3pc,P_8pc,P_8pc,P_5pc,P_5pc,P_3pc,P_3pc
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.001455292386469712,268.7495997249742,0.001421211333384984,156.91056055902118,0.0014212113333849853,60.61898993497566,0.0016029428283467462,268.4306585074299,0.0015290659928741384,150.31672298956403,0.0016029428283467462,43.15553414680673,0.002134116418494009,236.88930541658303,0.0021852753798184263,91.20108393559087,0.002134116418494009,29.45038042071756
0.0022294563347065367,282.5445642545882,0.0021772453698175377,160.88729099336243,0.002177245369817529,61.38234534251183,0.0023938578649908577,282.31238240743,0.002338042810564155,160.09566116629887,0.0022835291367859006,43.70296967937565,0.003044662054385945,249.09421203339468,0.0032689124724582484,92.35375231913676,0.0031176485826448714,30.967709969353482
0.0032573505121477773,297.0476267555773,0.0032573505121477773,167.04215607437953,0.003181067603811154,64.53311199522874,0.0034916667467965574,289.52017467199215,0.0035750217515174917,168.37490832180595,0.003491666746796543,46.54609072495616,0.004554452887685696,261.9279344815633,0.004775428485640568,94.7029780999222,0.004775428485640568,32.15679279759021
0.004759156837393745,316.2277660168379,0.004873282775601263,173.43248017724656,0.004759156837393725,66.16863473875797,0.005092924207816914,300.6783717609945,0.004744926704335576,177.08231157450274,0.005214505318550182,49.57417259446061,0.006653425027316997,278.9038732017596,0.006976239778092993,97.11196173169351,0.007143473944844332,32.563214703717875
0.006790534266679086,332.4597932270945,0.00712011708766443,182.33480008684404,0.006953373214962131,68.69996593898885,0.00742850875169125,312.2666092173679,0.007255306062279832,186.24001274962,0.007605846231745643,52.13786997669618,0.009952733764002488,296.980047740645,0.010435626297753924,97.11196173169361,0.010435626297753924,33.39153344081552
0.009921320246101947,362.89635718054257,0.010402857719619202,191.69407765334537,0.010159236335029142,70.44109314173721,0.01109384176772562,324.3014609298942,0.01109384176772562,195.8712987230557,0.010582545975673707,54.83414736831376,0.014539565903663454,312.2809231573578,0.015245005030776582,99.58222329003665,0.01561045773804273,34.24092233135079
0.01449555978367082,391.1932066511444,0.015199110829529891,204.07161840365592,0.014843167441219884,72.2263473523337,0.01580412630288392,349.7805211106543,0.015435638188922605,206.0006606369544,0.015435638188922542,59.14224557037502,0.021240292534657215,336.72295752114155,0.022804717221467367,104.71285480508985,0.021749464056362217,36.00506807356872
0.021686631989101927,421.6965034285831,0.02220668360893324,217.248367543193,0.02220668360893324,78.83864118484419,0.023602109432990716,382.0469952131735,0.023602109432990716,219.40214840671618,0.023602109432990716,62.9897773124428,0.0325346155362038,363.078054770101,0.03331453415896384,111.4994505529106,0.0317729554025232,37.86010535689837
0.03168528610171675,460.30265327594805,0.033223151248554385,234.1883126059246,0.03168528610171675,83.92919226451387,0.034425895483039225,417.28997969340804,0.034425895483039225,236.63969191642968,0.0336232232533406,68.80044398971172,0.04641588833612792,391.4959491509084,0.048667921441446584,118.72589565762331,0.04641588833612792,39.81071705534969
0.04629383464671529,496.1947603002913,0.04854073481949888,255.62816096951735,0.046293834646715194,90.47357242349302,0.05141212724749764,461.56575176780177,0.050213404999832956,258.46917649322853,0.050213404999832956,75.14713172745903,0.06943265718520338,427.4733955248149,0.07109709432312424,126.42069740976748,0.07109709432312482,43.4692170757764
