stress 	shear_rate 	viscosity 	step_time 	temperature 	normal_stress
0.886258 	100.001 	8.86248e-3 	2910.01 	58.48 	-55.8464
0.888174 	100.003 	8.88143e-3 	2920.00 	58.66 	-58.0764
0.876763 	99.9980 	8.76780e-3 	2930.00 	58.82 	-59.5972
0.878494 	100.000 	8.78491e-3 	2940.00 	59.01 	-54.7912
0.865942 	99.9986 	8.65954e-3 	2950.00 	59.20 	-57.9236
0.872662 	99.9972 	8.72687e-3 	2960.00 	59.35 	-62.9025
0.856811 	100.004 	8.56773e-3 	2970.01 	59.45 	-58.2203
0.853952 	100.005 	8.53912e-3 	2980.01 	59.64 	-61.8584
0.842976 	100.000 	8.42976e-3 	2990.01 	59.82 	-57.1140
0.843066 	99.9995 	8.43070e-3 	3000.00 	60.02 	-60.2249
